qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
0.125,6.75,0.232687924,29.00881096,0.305,1.310768495,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.045185185
0.375,5.59,0.077562641,72.07077923,0.156,2.01127756,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.027906977
0.625,4.84,0.046537585,104.0019593,0.122,2.621536991,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.025206612
0.875,3.5,0.033241132,105.2912398,0.0903,2.716513986,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.0258
1.125,2.56,0.025854214,99.01674141,0.0768,2.970502242,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.03
1.375,1.78,0.021153448,84.14703979,0.0672,3.17678712,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.037752809
1.625,1.12,0.017899071,62.57307964,0.0535,2.988981929,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.047767857
1.875,0.817,0.015512528,52.6671079,0.0627,4.041894327,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.076744186
2.125,0.259,0.013687525,18.92233995,0.0298,2.177164983,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.115057915
2.375,0.346,0.012246733,28.25243307,0.0575,4.695129774,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.166184971
2.625,0.147,0.011080377,13.26669621,0.0345,3.113612376,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.234693878
2.875,0.0457,0.010116866,4.517209067,0.0154,1.522210495,0.00%,0.00%,0.657129378,0.608427374,0.713817525,5.5,5,6,38.8,0.2,0.1,0.3,0.273475627,0.073475627,0.336980306
0.125,2.87,0.19665093,14.59438813,0.153,0.778028357,0.00%,0.00%,0.566184669,0.529232258,0.608427374,6.5,6,7,38.8,0.2,0.1,0.3,0.295102242,0.095102242,0.053310105
0.375,2.28,0.06555031,34.78244419,0.0765,1.167042535,0.00%,0.00%,0.566184669,0.529232258,0.608427374,6.5,6,7,38.8,0.2,0.1,0.3,0.295102242,0.095102242,0.033552632
