dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E288_300,E288_300:0,,0.1,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,9.16,0.42,9.16,0.42,,,,,0.022222222222222223,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,0
E288_300,E288_300:1,,0.3,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,7.65,0.3,7.65,0.3,,,,,0.06666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,1
E288_300,E288_300:2,,0.5,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,6.61,0.3,6.61,0.3,,,,,0.1111111111111111,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,2
E288_300,E288_300:3,,0.7,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,5.58,0.3,5.58,0.3,,,,,0.15555555555555556,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,3
E288_300,E288_300:4,,0.9,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,3.91,0.27,3.91,0.27,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,4
E288_300,E288_300:5,,1.1,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,2.73,0.23,2.73,0.23,,,,,0.24444444444444446,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,5
E288_300,E288_300:6,,1.3,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,1.85,0.2,1.85,0.2,,,,,0.2888888888888889,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,6
E288_300,E288_300:7,,1.5,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,1.58,0.2,1.58,0.2,,,,,0.3333333333333333,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,7
E288_300,E288_300:8,,1.7,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,0.838,0.155,0.838,0.155,,,,,0.37777777777777777,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,8
E288_300,E288_300:9,,1.9,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,0.503,0.136,0.503,0.136,,,,,0.4222222222222222,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,9
E288_300,E288_300:10,,2.1,,,4.5,4.0,5.0,0.21,0.189260324,0.235799069,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,23.72340616,300.0,0.397,0.102,0.397,0.102,,,,,0.4666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,10
