dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E605,E605:0,,0.1,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.785,0.115,0.785,0.115,,,,,0.013333333333333334,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,0
E605,E605:1,,0.3,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.973,0.0861,0.973,0.0861,,,,,0.04,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,1
E605,E605:2,,0.5,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.825,0.0616,0.825,0.0616,,,,,0.06666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,2
E605,E605:3,,0.7,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.805,0.057,0.805,0.057,,,,,0.09333333333333332,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,3
E605,E605:4,,0.9,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.569,0.0422,0.569,0.0422,,,,,0.12000000000000001,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,4
E605,E605:5,,1.1,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.537,0.0447,0.537,0.0447,,,,,0.14666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,5
E605,E605:6,,1.3,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.388,0.039,0.388,0.039,,,,,0.17333333333333334,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,6
E605,E605:7,,1.5,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.312,0.038,0.312,0.038,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,7
E605,E605:8,,1.7,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.229,0.0373,0.229,0.0373,,,,,0.22666666666666666,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,8
E605,E605:9,,1.9,,,7.5,7.0,8.0,-0.255865709,-0.240184026,-0.273712348,-0.1,0.0,0.0,0.149660941,0.249660941,38.8,,0.136,0.0307,0.136,0.0307,,,,,0.2533333333333333,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,9
