dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error,row_correction_note,A_over_PreFactor,dA_over_PreFactor,ratio_CS_to_A_over_PreFactor,ratio_error_to_dA_over_PreFactor
E288_300,E288_300:0,0.1,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,5.757714286,0.264,9.16,0.42,1.590909091,15%,0.00%,,,0.0222222222222222,5.757714285385273,0.2639999999849142,1.0676579376576424e-10,5.714305291574946e-11,Data/E288_300.csv,0,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.045851528,,5.757714285385273,0.2639999999849142,1.0000000001067657,1.000000000057143
E288_300,E288_300:1,0.3,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,14.42571429,0.565714286,7.65,0.3,0.53030303,15%,0.00%,,,0.0666666666666666,14.425714293957553,0.565714286037551,2.7434001886672755e-10,6.637815994522029e-11,Data/E288_300.csv,1,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.039215686,,14.425714293957553,0.565714286037551,0.99999999972566,0.999999999933622
E288_300,E288_300:2,0.5,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,20.77428571,0.942857143,6.61,0.3,0.318181818,15%,0.00%,,,0.1111111111111111,20.774285726156734,0.9428571433959184,7.777274777807203e-10,4.1991334627865534e-10,Data/E288_300.csv,2,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.045385779,,20.774285726156734,0.9428571433959184,0.9999999992222726,0.9999999995800868
E288_300,E288_300:3,0.7,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,24.552,1.32,5.58,0.3,0.227272727,15%,0.00%,,,0.1555555555555555,24.5520000294624,1.320000001584,1.1999999473587815e-09,1.1999998623465919e-09,Data/E288_300.csv,3,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.053763441,,24.5520000294624,1.320000001584,0.9999999988,0.9999999988
E288_300,E288_300:4,0.9,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,22.11942857,1.527428571,3.91,0.27,0.176767677,15%,0.00%,,,0.2,22.119428542357323,1.5274285694210938,1.249701247609761e-09,1.0337020970660635e-09,Data/E288_300.csv,4,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.069053708,,22.119428542357323,1.5274285694210938,1.0000000012497012,1.000000001033702
E288_300,E288_300:5,1.1,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,18.876,1.590285714,2.73,0.23,0.144628099,15%,0.00%,,,0.2444444444444444,18.8760000226512,1.5902857161940571,1.1999998117642755e-09,1.379662242976635e-09,Data/E288_300.csv,5,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.084249084,,18.8760000226512,1.5902857161940571,0.9999999988000002,0.9999999986203376
E288_300,E288_300:6,1.3,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,15.11714286,1.634285714,1.85,0.2,0.122377622,15%,0.00%,,,0.2888888888888889,15.11714290379004,1.634285719328653,2.896714153829572e-09,3.260539458505729e-09,Data/E288_300.csv,6,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.108108108,,15.11714290379004,1.634285719328653,0.9999999971032858,0.9999999967394604
E288_300,E288_300:7,1.5,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,14.89714286,1.885714286,1.58,0.2,0.106060606,15%,0.00%,,,0.3333333333333333,14.89714286565551,1.8857142867918368,3.7963721562065046e-10,4.19913464029582e-10,Data/E288_300.csv,7,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.126582278,,14.89714286565551,1.8857142867918368,0.9999999996203628,0.9999999995800866
E288_300,E288_300:8,1.7,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,8.954628571,1.656285714,0.838,0.155,0.093582888,15%,0.00%,,,0.3777777777777777,8.95462854277376,1.6562857089856,3.152139776245471e-09,3.027496985541978e-09,Data/E288_300.csv,8,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.1849642,,8.95462854277376,1.6562857089856,1.00000000315214,1.000000003027497
E288_300,E288_300:9,1.9,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,6.007257143,1.624228571,0.503,0.136,0.083732057,15%,0.00%,,,0.4222222222222222,6.0072571727217925,1.624228579503308,4.947647700771407e-09,5.2352902571655514e-09,Data/E288_300.csv,9,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.270377734,,6.0072571727217925,1.624228579503308,0.9999999950523524,0.9999999947647096
