dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E288_300,E288_300:0,0.1,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,5.757714286,0.264,9.16,0.42,1.590909091,0.00%,0.00%,,,0.022222222222222223,5.757714285385273,0.26399999998491425,1.0676579376576423e-10,5.714305291574946e-11,Data/E288_300.csv,0,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.045851528
E288_300,E288_300:1,0.3,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,14.42571429,0.565714286,7.65,0.3,0.53030303,0.00%,0.00%,,,0.06666666666666667,14.425714293957551,0.565714286037551,2.7434001886672755e-10,6.63781599452203e-11,Data/E288_300.csv,1,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.039215686
E288_300,E288_300:2,0.5,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,20.77428571,0.942857143,6.61,0.3,0.318181818,0.00%,0.00%,,,0.1111111111111111,20.774285726156734,0.9428571433959183,7.777274777807204e-10,4.1991334627865534e-10,Data/E288_300.csv,2,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.045385779
E288_300,E288_300:3,0.7,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,24.552,1.32,5.58,0.3,0.227272727,0.00%,0.00%,,,0.15555555555555556,24.5520000294624,1.3200000015839999,1.1999999473587815e-09,1.1999998623465919e-09,Data/E288_300.csv,3,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.053763441
E288_300,E288_300:4,0.9,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,22.11942857,1.527428571,3.91,0.27,0.176767677,0.00%,0.00%,,,0.2,22.119428542357323,1.5274285694210938,1.249701247609761e-09,1.0337020970660635e-09,Data/E288_300.csv,4,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.069053708
E288_300,E288_300:5,1.1,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,18.876,1.590285714,2.73,0.23,0.144628099,0.00%,0.00%,,,0.24444444444444446,18.876000022651198,1.5902857161940571,1.1999998117642757e-09,1.3796622429766353e-09,Data/E288_300.csv,5,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.084249084
E288_300,E288_300:6,1.3,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,15.11714286,1.634285714,1.85,0.2,0.122377622,0.00%,0.00%,,,0.2888888888888889,15.117142903790041,1.634285719328653,2.896714153829572e-09,3.260539458505729e-09,Data/E288_300.csv,6,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.108108108
E288_300,E288_300:7,1.5,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,14.89714286,1.885714286,1.58,0.2,0.106060606,0.00%,0.00%,,,0.3333333333333333,14.89714286565551,1.8857142867918368,3.7963721562065046e-10,4.1991346402958203e-10,Data/E288_300.csv,7,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.126582278
E288_300,E288_300:8,1.7,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,8.954628571,1.656285714,0.838,0.155,0.093582888,0.00%,0.00%,,,0.37777777777777777,8.95462854277376,1.6562857089856,3.152139776245471e-09,3.0274969855419785e-09,Data/E288_300.csv,8,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.1849642
E288_300,E288_300:9,1.9,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,6.007257143,1.624228571,0.503,0.136,0.083732057,0.00%,0.00%,,,0.4222222222222222,6.0072571727217925,1.624228579503308,4.947647700771407e-09,5.2352902571655514e-09,Data/E288_300.csv,9,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.270377734
E288_300,E288_300:10,2.1,4.5,0.21,0.080255008,0.234011559,0.153756551,23.72340616,300.0,5.2404,1.3464,0.397,0.102,0.075757576,0.00%,0.00%,,,0.4666666666666667,5.240399983230721,1.34639999569152,3.1999998661363264e-09,3.200000012775607e-09,Data/E288_300.csv,10,0.189260324,0.235799069,4.0,5.0,0.071337785,0.089172232,0.256926952
E288_300,E288_300:15,0.1,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,1.615428571,0.100571429,2.57,0.16,1.590909091,0.00%,0.00%,,,0.018181818181818184,1.615428571336261,0.10057142856568163,2.081559191139246e-10,4.318506530644298e-09,Data/E288_300.csv,15,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.062256809
E288_300,E288_300:16,0.3,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,4.337142857,0.188571429,2.3,0.1,0.53030303,0.00%,0.00%,,,0.05454545454545454,4.337142859621224,0.1885714286791837,6.043665637684432e-10,1.7012986519594882e-09,Data/E288_300.csv,16,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.043478261
E288_300,E288_300:17,0.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.505714286,0.314285714,2.07,0.1,0.318181818,0.00%,0.00%,,,0.09090909090909091,6.505714289431836,0.3142857144653061,5.275110458151868e-10,1.4805194940335942e-09,Data/E288_300.csv,17,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.048309179
E288_300,E288_300:18,0.7,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,8.008,0.484,1.82,0.11,0.227272727,0.00%,0.00%,,,0.12727272727272726,8.0080000096096,0.4840000005808,1.200000026865155e-09,1.2000000382083652e-09,Data/E288_300.csv,18,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.06043956
E288_300,E288_300:19,0.9,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.392571429,0.452571429,1.13,0.08,0.176767677,0.00%,0.00%,,,0.16363636363636364,6.392571420169762,0.45257142797662037,1.381327994893733e-09,2.261255557061002e-09,Data/E288_300.csv,19,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.07079646
E288_300,E288_300:20,1.1,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.029257143,0.504742857,0.872,0.073,0.144628099,0.00%,0.00%,,,0.2,6.029257150092251,0.5047428577485485,1.1763059783635594e-09,1.483029516874894e-09,Data/E288_300.csv,20,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.083715596
E288_300,E288_300:21,1.3,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,5.188857143,0.498457143,0.635,0.061,0.122377622,0.00%,0.00%,,,0.23636363636363636,5.1888571588684735,0.49845714439523914,3.058182786759969e-09,2.799115555125235e-09,Data/E288_300.csv,21,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.096062992
E288_300,E288_300:22,1.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,3.620571429,0.396,0.384,0.042,0.106060606,0.00%,0.00%,,,0.2727272727272727,3.6205714306403265,0.39600000022628573,4.530573619903264e-10,5.714285663155164e-10,Data/E288_300.csv,22,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.109375
