endpoint,row_id,profile,qT,W_lambda1_fiducial,FO_DYTurbo,FO_DYTurbo_unc,profile_value,matched_lambda1,CS,error
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:10,early_0p18_0p28,21.75,0.7782902121543884,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8108880249066204,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:10,early_0p18_0p28,21.75,0.7824416160583496,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8122764851511853,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:10,early_0p18_0p28,21.75,0.7783990502357483,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8109244264114026,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:10,early_0p18_0p28,21.75,0.7742655277252197,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8095419466988392,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:10,early_0p18_0p28,21.75,0.7843670845031738,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8129204688371022,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:10,early_0p18_0p28,21.75,0.7760269045829773,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8101310490360893,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:10,early_0p18_0p28,21.75,0.7764087319374084,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8102587533294271,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:10,early_0p18_0p28,21.75,0.7809591293334961,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8117806591780512,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:10,early_0p18_0p28,21.75,0.77447509765625,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8096120385338962,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:10,early_0p18_0p28,21.75,0.7781038284301758,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8108256878280585,1.003090909,0.028490973
