mode,reference,quantity,pid,flavor,x,Q,active_points,rel_diff_median_active,rel_diff_p90_active,rel_diff_max_active
expb,expb2,ftilde,-2,ubar,0.1,5.0,133,0.00048756299643938205,0.0011764122597037359,0.0015045507752254334
expb,expb2,ftilde,-2,ubar,0.1,10.0,143,0.0004977750522131815,0.0012790393025472338,0.0015374601050064064
expb,expb2,ftilde,-2,ubar,0.2,5.0,141,5.5285950079893004e-05,0.00013927532821444947,0.00017564748586949475
expb,expb2,ftilde,-2,ubar,0.2,10.0,143,5.739214014277177e-05,0.0001405830800162621,0.0001804673238211043
expb,expb2,ftilde,-2,ubar,0.3,5.0,143,0.00010664294099476426,0.0002558879168686505,0.0003506835503957857
expb,expb2,ftilde,-2,ubar,0.3,10.0,147,0.00010568202391104438,0.0002338833898525037,0.000347876403959794
expb,expb2,ftilde,-2,ubar,0.5,5.0,139,5.945607682748886e-08,1.8193752520911387e-07,2.3794066218146844e-07
expb,expb2,ftilde,-2,ubar,0.5,10.0,143,5.879940399882214e-08,1.5331674574244439e-07,2.2082087873652114e-07
expb,expb2,ftilde,-1,dbar,0.1,5.0,127,0.000480492438231529,0.0013346696235664827,0.001648403627689283
expb,expb2,ftilde,-1,dbar,0.1,10.0,135,0.00048355093821779676,0.001230335406864966,0.0014629800542779498
expb,expb2,ftilde,-1,dbar,0.2,5.0,139,6.070771367398915e-05,0.00014866910895271738,0.00019356780325340946
expb,expb2,ftilde,-1,dbar,0.2,10.0,141,6.006187952451003e-05,0.0001454202483999081,0.00018606443519736065
expb,expb2,ftilde,-1,dbar,0.3,5.0,139,0.00011039926801069809,0.0002788349504440504,0.00035042209428730905
expb,expb2,ftilde,-1,dbar,0.3,10.0,142,0.00010938924825995206,0.0002679757665317422,0.00034762699452195136
expb,expb2,ftilde,-1,dbar,0.5,5.0,129,5.724312397976553e-08,2.1985045222134045e-07,6.827703267062125e-07
expb,expb2,ftilde,-1,dbar,0.5,10.0,131,5.6934367721461815e-08,2.3114799048591585e-07,3.991179296782844e-07
expb,expb2,ftilde,1,d,0.1,5.0,131,0.00046990336427551283,0.0012007174255433922,0.0015353103251980155
expb,expb2,ftilde,1,d,0.1,10.0,141,0.00048346944547953053,0.001207399303740981,0.001583643791567677
expb,expb2,ftilde,1,d,0.2,5.0,143,5.793444867503518e-05,0.00013791140181262723,0.00020519408516097472
expb,expb2,ftilde,1,d,0.2,10.0,145,5.740781485855444e-05,0.0001403777749133666,0.0002265424335452424
expb,expb2,ftilde,1,d,0.3,5.0,142,0.00010825843617981605,0.00025533290613048416,0.0003373091370844236
expb,expb2,ftilde,1,d,0.3,10.0,146,0.00010682908565858446,0.00023157678723451875,0.00033451218263659907
expb,expb2,ftilde,1,d,0.5,5.0,121,6.472813391151927e-08,1.4328238352442937e-07,5.002056325003158e-07
expb,expb2,ftilde,1,d,0.5,10.0,122,6.38714067959155e-08,1.5800407569082556e-07,4.861149690187736e-07
expb,expb2,ftilde,2,u,0.1,5.0,140,0.0005029493423407293,0.0012252022538325128,0.0014030390270618855
expb,expb2,ftilde,2,u,0.1,10.0,151,0.000538211925752924,0.0012605711410105759,0.001393738849156424
expb,expb2,ftilde,2,u,0.2,5.0,145,5.5629390952171304e-05,0.00014126631282853635,0.00022259129057797272
expb,expb2,ftilde,2,u,0.2,10.0,148,5.6448954052794204e-05,0.00013654151416795933,0.0002535530097947638
expb,expb2,ftilde,2,u,0.3,5.0,146,0.00010718573550910564,0.0002294564010178491,0.00034255667690105294
expb,expb2,ftilde,2,u,0.3,10.0,151,0.00010617748675538381,0.00020819592630889387,0.0003395721551209599
expb,expb2,ftilde,2,u,0.5,5.0,123,6.241710443129921e-08,1.7613299550513428e-07,4.575122450835996e-07
expb,expb2,ftilde,2,u,0.5,10.0,125,6.203269196116554e-08,2.031171786585644e-07,4.5463912678300637e-07
expb,expb2,x_ftilde,-2,ubar,0.1,5.0,133,0.00048756299644033083,0.001176412259707501,0.0015045507752272026
expb,expb2,x_ftilde,-2,ubar,0.1,10.0,143,0.0004977750522095654,0.0012790393025559716,0.0015374601050092843
expb,expb2,x_ftilde,-2,ubar,0.2,5.0,141,5.528595008104923e-05,0.00013927532823171583,0.00017564748586233934
expb,expb2,x_ftilde,-2,ubar,0.2,10.0,143,5.7392140142735573e-05,0.00014058308004472088,0.00018046732382103606
expb,expb2,x_ftilde,-2,ubar,0.3,5.0,143,0.00010664294097384085,0.0002558879168621427,0.00035068355038937515
expb,expb2,x_ftilde,-2,ubar,0.3,10.0,147,0.00010568202393162054,0.00023388338994204073,0.0003478764039525186
expb,expb2,x_ftilde,-2,ubar,0.5,5.0,139,5.945607682749404e-08,1.8193758800297392e-07,2.3794064351362365e-07
expb,expb2,x_ftilde,-2,ubar,0.5,10.0,143,5.879940399882781e-08,1.533165175924964e-07,2.2082128706458253e-07
expb,expb2,x_ftilde,-1,dbar,0.1,5.0,127,0.00048049243823100824,0.0013346696235666607,0.0016484036276841244
expb,expb2,x_ftilde,-1,dbar,0.1,10.0,135,0.00048355093821663705,0.0012303354068663565,0.001462980054278025
expb,expb2,x_ftilde,-1,dbar,0.2,5.0,139,6.070771367541658e-05,0.0001486691089580436,0.0001935678032490925
expb,expb2,x_ftilde,-1,dbar,0.2,10.0,141,6.0061879527523674e-05,0.00014542024838291322,0.0001860644351973208
expb,expb2,x_ftilde,-1,dbar,0.3,5.0,139,0.00011039926796981184,0.00027883495039425943,0.00035042209429253464
expb,expb2,x_ftilde,-1,dbar,0.3,10.0,142,0.00010938924825711558,0.0002679757664419511,0.00034762699451869946
